X,Y,OBJECTID,CASENUMBER,LECASENUM,CRASH_KEY,AV_DATE,MNTH,DAYOFWEEK,TIMESTR,DISTRICT,CNTY,CITYNAME,SYSTEMSTR,LITERAL,FRSTHARM,LOCFSTHRM,CRCOMNNR,MAJCSE,DRUGALC,ECNTCRC,LGHT,LGHTNG,CSRFCND,WEATHER,RCNTCRC,PAVED,WZRELATED,CSEV,FATALITIES,INJURIES,MAJINJURY,MININJURY,POSSINJURY,UNKINJURY,PROPDMG,VEHICLES,TOCCUPANTS,REPORT,XCOORD,YCOORD,CRASH_YEAR
-94.490210659339311,43.212220008532661,3463,2003047671,,2003042025,20030930,September,Tuesday,77:77,District 3 (Northwest),Palo Alto,N/A,,Co Rd B19/300 ST,Collision with fixed object:  Other fixed object (explain in narrative),Roadside,Non-collision,Over correcting/over steering,None Indicated,None apparent,Daylight,Darkness,Dry,Severe winds,None apparent,Paved,,Fatal,1,1,1,0,0,0,5000,1,2,2001 Officer Paper,378954,4785459,2003
-91.904883680270828,42.570071141183412,3504,2003039914,03006814,2003035314,20030811,August,Monday,22:32,District 6 (East Central),Buchanan,N/A,IA 150,IA 150/JACKSON AVE & 150TH ST,Collision with:  Animal,On Roadway,Non-collision,Animal,None Indicated,Animal in roadway,Dark - roadway not lighted,Darkness,Dry,Clear,None apparent,Paved,,Fatal,1,0,0,0,0,0,14000,1,1,2001 Officer TraCS,589882,4713654,2003
-95.874542391198659,42.866148276211945,3660,2003051761,SO3000307,2003045709,20030829,August,Friday,22:05,District 3 (Northwest),Plymouth,N/A,,Co Rd C16/130TH ST,Non-collision events:  Overturn/rollover,Roadside,Non-collision,Exceeded authorized speed,Drug/Alcohol (Statutory),None apparent,Dark - roadway not lighted,Darkness,Dry,Clear,None apparent,Paved,,Fatal,1,0,0,0,0,0,18400,1,1,2001 Officer TraCS,265186,4749959,2003
-92.416570102943126,42.561292266505518,3762,2003051240,W03-94978,2003045232,20031020,October,Monday,15:54,District 2 (Northeast),Black Hawk,Waterloo,,LONE TREE RD & LEVERSEE RD,Collision with fixed object:  Tree,Outside trafficway,Non-collision,Ran Stop Sign,None Indicated,None apparent,Daylight,Daylight,Dry,Clear,None apparent,Paved,,Fatal,1,0,0,0,0,0,8100,1,1,2001 Officer TraCS,547892,4712263,2003
-92.337862842402416,42.632423592434371,3887,2003045896,S03-83822,2003040503,20030916,September,Tuesday,17:44,District 2 (Northeast),Black Hawk,N/A,US 63,US 63/LOGAN AVE,Collision with:  Non-motorist (see non-motorist type),On Roadway,Non-collision,Other (explain in narrative):  No improper action,None Indicated,None apparent,Daylight,Daylight,Dry,Clear,None apparent,Paved,,Fatal,1,0,0,0,0,0,800,1,1,2001 Officer TraCS,554291,4720209,2003
-96.369438701583235,42.433910825910473,3983,2003054654,03-47666,2003048331,20031107,November,Friday,05:44,District 3 (Northwest),Woodbury,Sioux City,,S LEWIS BLVD & MERIWETHER DR,Collision with:  Vehicle in traffic,On Roadway,Broadside,FTYROW:  From stop sign,None Indicated,None apparent,Dark - roadway lighted,Darkness,Dry,Clear,None apparent,Paved,,Fatal,1,0,0,0,0,0,5000,2,2,2001 Officer TraCS,222841,4703456,2003
-91.570480101272167,41.944054481357618,3994,2003054370,,2003048078,20030829,August,Friday,17:02,District 6 (East Central),Linn,N/A,,OLD RIVER RD,Non-collision events:  Overturn/rollover,Roadside,Non-collision,Ran off road - right,None Indicated,None apparent,Daylight,Daylight,Sand/mud/dirt/oil/gravel,Clear,Shoulders (none/low/soft/high),Unpaved,,Fatal,1,0,0,0,0,0,500,1,1,2001 Officer Paper,618495,4644552,2003
-93.260681678200726,43.162648392413637,3996,2003054382,03-18411,2003048090,20031004,October,Saturday,19:02,District 2 (Northeast),Cerro Gordo,Mason City,,12TH ST NW & EISENHOWER AVE,Collision with:  Vehicle in traffic,On Roadway,Rear-end,Ran Stop Sign,Alcohol (Statutory),None apparent,Dark - roadway lighted,Dusk Twilight (Civil),Dry,Clear,None apparent,Paved,,Fatal,1,3,1,0,2,0,14500,2,4,2001 Officer TraCS,478809,4778909,2003
-94.249239850559761,41.04816760728918,3999,2003055586,SP3024182421,2003049126,20031112,November,Wednesday,15:20,District 4 (Southwest),Union,N/A,US 34,US 34/US HWY 34,Collision with:  Vehicle in traffic,On Roadway,Head-on,Crossed centerline,None Indicated,Unknown,Daylight,Daylight,Dry,Severe winds,None apparent,Paved,,Fatal,2,0,0,0,0,0,18000,2,3,2001 Officer TraCS,395013,4544855,2003
-94.890238553184503,41.591129173443001,7178,2004221136,SP4042472120,2004019475,20040426,April,Monday,14:42,District 4 (Southwest),Audubon,Exira,US 71,US 71/HWY 71 & WASHINGTON ST,Collision with:  Vehicle in/from other roadway,On Roadway,Broadside,Ran Stop Sign,None Indicated,None apparent,Daylight,Daylight,Dry,Clear,None apparent,Paved,,Fatal,1,1,1,0,0,0,12000,2,3,2001 Officer TraCS,342454,4606106,2004
-91.481665635178459,42.035022047321227,7280,2004222653,,2004020880,20040509,May,Sunday,14:43,District 6 (East Central),Linn,N/A,,MARION AIRPORT RD & STONE RD,Collision with fixed object:  Ditch/embankment,Roadside,Non-collision,Ran off road - straight,None Indicated,None apparent,Daylight,Daylight,Sand/mud/dirt/oil/gravel,Cloudy,None apparent,Unpaved,,Fatal,1,0,0,0,0,0,5000,1,1,2001 Officer Paper,625678,4654779,2004
-91.837653042268528,43.042959026297417,7821,2004227510,,2004025362,20040612,June,Saturday,09:37,District 2 (Northeast),Fayette,N/A,IA 150,IA 150/LINCOLN RD,Non-collision events:  Overturn/rollover,Outside trafficway,Non-collision,Ran off road - right,None Indicated,None apparent,Daylight,Daylight,Dry,Partly cloudy,None apparent,Paved,,Fatal,1,0,0,0,0,0,6000,1,1,2001 Officer Paper,594676,4766240,2004
-91.25891199260461,43.147202157660324,8008,2004231005,SP4101152358,2004028569,20040613,June,Sunday,21:15,District 2 (Northeast),Allamakee,N/A,IA 76,IA 76/IOWA 76,Non-collision events:  Overturn/rollover,Shoulder,Non-collision,Ran off road - right,Alcohol (Statutory),None apparent,Dark - roadway lighted,Dusk Twilight (Civil),Dry,Clear,None apparent,Paved,,Fatal,1,0,0,0,0,0,10100,1,1,2001 Officer TraCS,641576,4778632,2004
-95.547169178545303,41.855860272612027,8013,2004223647,SP4040682133,2004021800,20040511,May,Tuesday,15:56,District 4 (Southwest),Shelby,N/A,,ASPEN RD,Collision with:  Vehicle in traffic,On Roadway,Head-on,Exceeded authorized speed,None Indicated,Physical obstruction,Daylight,Daylight,Dry,Clear,None apparent,Unpaved,,Fatal,1,4,0,4,0,0,10500,2,5,2001 Officer TraCS,288567,4636909,2004
-93.016694993828082,41.444229822365983,8152,2004232946,,2004030347,20040719,July,Monday,16:03,District 5 (Southeast),Marion,N/A,IA 163,IA 163/HWY 163,Collision with fixed object:  Ditch/embankment,On Roadway,Non-collision,Ran off road - right,None Indicated,None apparent,Daylight,Daylight,Dry,Clear,None apparent,Paved,,Fatal,1,0,0,0,0,0,1000,1,1,2001 Officer Paper,498606,4588072,2004
-96.262147396785608,42.633875336970029,8299,2004234447,SO4001434,2004031594,20040717,July,Saturday,02:20,District 3 (Northwest),Plymouth,N/A,,Co Rd C60/C60,Collision with:  Vehicle in traffic,On Roadway,Rear-end,Ran off road - right,Alcohol (< Statutory),None apparent,Dark - roadway not lighted,Darkness,Dry,Clear,None apparent,Paved,,Fatal,2,0,0,0,0,0,15000,2,2,2001 Officer TraCS,232523,4725318,2004
-95.092767907034158,41.935697343212972,8379,2004237705,SP4042922205,2004034549,20040717,July,Saturday,01:45,District 3 (Northwest),Carroll,N/A,,ASPEN AVE,Collision with:  Non-motorist (see non-motorist type),On Roadway,Non-collision,Driving too fast for conditions,Alcohol (Statutory),None apparent,Dark - roadway not lighted,Darkness,Dry,Clear,None apparent,Unpaved,,Fatal,1,1,1,0,0,0,2500,1,1,2001 Officer TraCS,326504,4644754,2004
-91.371824788431866,40.905338169152536,8451,2004237914,SP4133182381,2004034739,20040816,August,Monday,17:21,District 5 (Southeast),Henry,N/A,US 34,US 34/HWY 34 & Co Rd X30/DES MOINES-HENRY AVE & OLD HWY 34,Collision with:  Vehicle in/from other roadway,On Roadway,Broadside,FTYROW:  From stop sign,Drug,None apparent,Daylight,Daylight,Dry,Partly cloudy,None apparent,Paved,,Fatal,1,0,0,0,0,0,11000,2,2,2001 Officer TraCS,637131,4529524,2004
-93.357956174656806,41.529208941713996,8453,2004235716,04-78513,2004032751,20040801,August,Sunday,14:40,District 1 (Central),Polk,N/A,,Co Rd F70/SE 56 AVE & SE 116 ST,Collision with:  Vehicle in traffic,On Roadway,Broadside,FTYROW:  Other (explain in narrative),None Indicated,None apparent,Daylight,Daylight,Dry,Partly cloudy,Traffic control device inoperative/missing/obscured,Paved,,Fatal,1,3,3,0,0,0,25000,2,4,2001 Officer TraCS,470138,4597568,2004
-93.558376711797649,41.593569326594917,8546,2004238713,2004 0030523,2004035488,20040819,August,Thursday,23:19,District 1 (Central),Polk,Des Moines,,WALNUT ST E & E. 30TH ST,Collision with:  Non-motorist (see non-motorist type),On Roadway,Non-collision,Swerving/Evasive Action,Alcohol (< Statutory),Not Reported,Dark - roadway lighted,Darkness,Not Reported,Partly cloudy,Not Reported,Paved,,Fatal,1,1,0,1,0,0,0,1,3,2001 Officer TraCS,453464,4604802,2004
-93.56696726912358,41.593518276278886,8561,2004238734,,2004035504,20040821,August,Saturday,00:01,District 1 (Central),Polk,Des Moines,,WALNUT ST E,Collision with:  Parked motor vehicle,On Roadway,Rear-end,Ran off road - right,Alcohol (Statutory),None apparent,Dark - roadway not lighted,Darkness,Dry,Clear,None apparent,Paved,,Fatal,1,0,0,0,0,0,8000,2,1,2001 Officer Paper,452748,4604801,2004
-92.257245369141074,42.483568972311701,8654,2004238658,S04-78186,2004035438,20040814,August,Saturday,16:18,District 2 (Northeast),Black Hawk,N/A,,OSAGE RD,Collision with fixed object:  Ditch/embankment,On Roadway,Non-collision,Swerving/Evasive Action,None Indicated,None apparent,Daylight,Daylight,Dry,Clear,None apparent,Unpaved,,Fatal,1,0,0,0,0,0,2000,1,2,2001 Officer TraCS,561046,4703735,2004
-96.059090142064619,41.805902775952482,10095,2004261416,SP4040872366,2004053836,20041117,November,Wednesday,17:05,District 4 (Southwest),Harrison,N/A,I-29,I-29,Collision with fixed object:  Guardrail,On Roadway,Non-collision,Ran off road - left,Drug,None apparent,Daylight,Dusk Twilight (Civil),Wet,Mist,None apparent,Paved,,Fatal,2,0,0,0,0,0,45000,1,2,2001 Officer TraCS,245872,4632750,2004
-93.571228203389367,42.01111247933693,10426,2004255354,SP4013853536,2004050697,20041110,November,Wednesday,17:30,District 1 (Central),Story,N/A,I-35,I-35,Collision with fixed object:  Bridge/bridge rail/overpass,On Roadway,Sideswipe - opposite direction,Swerving/Evasive Action,None Indicated,Weather conditions,Dark - roadway not lighted,Darkness,Wet,Rain,Road surface condition,Paved,,Fatal,1,1,0,0,1,0,55500,2,3,2001 Officer TraCS,452701,4651167,2004
-93.6696751711753,41.310645260723049,10461,2004255375,44657,2004050717,20041110,November,Wednesday,02:18,District 5 (Southeast),Warren,N/A,,73RD AVE,Non-collision events:  Overturn/rollover,Outside trafficway,Non-collision,Ran off road - right,None Indicated,None apparent,Dark - roadway not lighted,Darkness,Sand/mud/dirt/oil/gravel,Clear,None apparent,Unpaved,,Fatal,2,1,0,1,0,0,1500,1,3,2001 Officer TraCS,443945,4573458,2004
-92.587199388323683,41.577520690484981,10805,2004265037,,2004055791,20041230,December,Thursday,23:12,District 1 (Central),Poweshiek,N/A,,Co Rd F57/DIAMOND TRAIL RD,Non-collision events:  Overturn/rollover,Roadside,Non-collision,Swerving/Evasive Action,None Indicated,None apparent,Dark - roadway not lighted,Darkness,Dry,Clear,None apparent,Paved,,Fatal,1,0,0,0,0,0,4200,1,1,2001 Officer Paper,534413,4602952,2004
-96.120813978087895,42.86027088882927,10868,2004264780,SO4002660,2004055704,20041220,December,Monday,14:15,District 3 (Northwest),Plymouth,N/A,IA 60,IA 60/STATE HWY 60,Collision with:  Vehicle in traffic,On Roadway,Head-on,Ran off road - left,None Indicated,Weather conditions,Daylight,Daylight,Ice,Sleet/hail/freezing rain,Road surface condition,Paved,,Fatal,2,1,0,1,0,0,126900,3,3,2001 Officer TraCS,245043,4750023,2004
-95.224506393876396,41.479912385936714,11221,2005206629,,2005002985,20050127,January,Thursday,15:24,District 4 (Southwest),Pottawattamie,Walnut,,PLEASANT ST & PACIFIC ST,Non-collision events:  Other non-collision (explain in narrative),On Roadway,Non-collision,Operating vehicle in an erratic/reckless/careless/negligent/aggressive manner,None Indicated,None apparent,Daylight,Daylight,Dry,Cloudy,None apparent,Paved,,Fatal,1,0,0,0,0,0,0,1,1,2001 Officer Paper,314274,4594422,2005
-95.575975084437289,41.889232546339855,11233,2005207191,SP5040682055,2005003007,20050207,February,Monday,07:59,District 3 (Northwest),Crawford,N/A,US 30,US 30,Collision with:  Vehicle in traffic,On Roadway,Head-on,Crossed centerline,None Indicated,Weather conditions,Daylight,Daylight,Slush,Partly cloudy,Road surface condition,Paved,,Fatal,1,3,1,2,0,0,51200,4,4,2001 Officer TraCS,286287,4640686,2005
-95.823338762282191,41.182561223501075,11256,2005207646,SP5032962102,2005003334,20050209,February,Wednesday,04:45,District 4 (Southwest),Pottawattamie,N/A,I-29,I-29,Non-collision events:  Overturn/rollover,On Roadway,Non-collision,Driving too fast for conditions,None Indicated,Weather conditions,Dark - roadway not lighted,Darkness,Wet,Clear,None apparent,Paved,,Fatal,1,0,0,0,0,0,15000,1,1,2001 Officer TraCS,263197,4562866,2005
-93.058926645617007,40.681424556752376,11260,2005210314,05002521,2005006664,20050227,February,Sunday,08:30,District 5 (Southeast),Appanoose,N/A,,Co Rd J46/HWY J46,Collision with:  Vehicle in traffic,On Roadway,Head-on,Crossed centerline,None Indicated,None apparent,Daylight,Daylight,Dry,Partly cloudy,None apparent,Paved,,Fatal,1,2,2,0,0,0,10000,2,3,2001 Officer TraCS,495021,4503394,2005
-92.229129977621199,41.74468691137502,11268,2005209071,,2005005674,20050225,February,Friday,21:10,District 6 (East Central),Iowa,N/A,US 6,US 6,Non-collision events:  Overturn/rollover,Roadside,Non-collision,Crossed centerline,Alcohol (Statutory),None apparent,Dark - roadway not lighted,Darkness,Dry,Partly cloudy,None apparent,Paved,,Fatal,1,0,0,0,0,0,12000,1,1,2001 Officer Paper,564097,4621716,2005
-93.701786008966579,41.600412494270842,11315,2005201998,,2005002291,20050107,January,Friday,14:45,District 1 (Central),Polk,Des Moines,,UNIVERSITY AVE & CUMMINS PKWY,Collision with:  Vehicle in traffic,On Roadway,Broadside,FTYROW:  From stop sign,None Indicated,None apparent,Daylight,Daylight,Snow,Cloudy,None apparent,Paved,,Fatal,1,1,0,1,0,0,13000,2,2,2001 Officer Paper,441518,4605649,2005
